Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src\java,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src\java\com,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src\java\com\pointofviewsoftware,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src\java\com\pointofviewsoftware\touch,2,459,309,213,55,67,2,83,373,10,62
C:\git\pov\WinkTouch\src\java\com\pointofviewsoftware\touch\server,2,459,309,213,55,67,2,83,373,10,62
