File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\git\pov\WinkTouch\src\java\com\pointofviewsoftware\touch\server\CreateModel.java,70,29,24,3,8,0,33,126,5,31
C:\git\pov\WinkTouch\src\java\com\pointofviewsoftware\touch\server\WinkModelServlet.java,389,280,189,52,59,2,50,247,5,31
